job_id,job_title,category,industry,company,company_size,location,work_mode,experience_level,required_experience_years,salary_range,skills,job_description,posted_date
21,Email Marketing Specialist,Marketing & Sales,E-commerce,ShopEase,SME,Bengaluru,Remote,Mid,6,"₹53,400/mo - ₹158,600/mo","canva, google analytics, social media, email marketing, meta ads, salesforce, copywriting, communication, storytelling, stakeholder management, presentation, problem solving, creativity","As a Mid Email Marketing Specialist in the E-commerce domain at ShopEase, you will deliver high-quality outcomes. Analyse campaign performance and optimize for ROI. Generate and nurture leads through multiple channels. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-30
22,Vendor Manager,Operations & Supply Chain,Logistics,CargoFirst,Startup,Kolkata,Remote,Mid,5,"₹49,600/mo - ₹162,200/mo","excel, procurement, tableau, kpi tracking, supply chain analytics, sustainability ops, python, communication, stakeholder management, ownership","As a Mid Vendor Manager in the Logistics domain at CargoFirst, you will contribute to a high-performing team. Monitor and optimise supply chain operations. Track inventory levels and manage procurement processes. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-03-12
23,Tax Analyst,Finance & Accounting,FMCG,BrandPlus,Startup,Ahmedabad,Hybrid,Junior,1,"₹24,000/mo - ₹75,600/mo","cash flow, ind as, sql, taxation, gst, bloomberg terminal, variance analysis, tally, sap, budgeting, risk management, esg reporting, ownership, communication, attention to detail","As a Junior Tax Analyst in the FMCG domain at BrandPlus, you will contribute to a high-performing team. Ensure compliance with accounting standards and regulations. Prepare financial reports and variance analysis. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-20
24,Quality Control Analyst,Operations & Supply Chain,E-commerce,ShopEase,Startup,Kolkata,On-site,Junior,2,"₹22,600/mo - ₹64,200/mo","procurement, vendor management, supply chain ai, inventory management, oracle, supply chain analytics, power bi, warehouse management, lean, process improvement, communication, time management, attention to detail, ownership","As a Junior Quality Control Analyst in the E-commerce domain at ShopEase, you will deliver high-quality outcomes. Track inventory levels and manage procurement processes. Coordinate with vendors and logistics partners. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-02
25,BI Developer,Data & Analytics,Technology,CodeCraft,SME,Delhi NCR,Remote,Mid,4,"₹53,500/mo - ₹165,600/mo","excel, bigquery, scikit-learn, metabase, vector databases, jupyter, machine learning, k-means, looker, mlops, llm fine-tuning, presentation, communication, problem solving, storytelling","As a Mid BI Developer in the Technology domain at CodeCraft, you will collaborate with cross-functional teams. Collaborate with stakeholders to define KPIs and metrics. Analyse large datasets to extract actionable insights. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-07
26,Vendor Manager,Operations & Supply Chain,Manufacturing,PrecisionMfg,SME,Gurugram,Hybrid,Senior,10,"₹107,400/mo - ₹377,900/mo","digital twin, power bi, supply chain ai, sap, sustainability ops, six sigma, oracle, procurement, lean, problem solving, time management, ownership","As a Senior Vendor Manager in the Manufacturing domain at PrecisionMfg, you will contribute to a high-performing team. Track inventory levels and manage procurement processes. Monitor and optimise supply chain operations. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-22
27,Telemedicine Coordinator,Healthcare,BFSI,CapitalEdge,SME,Gurugram,On-site,Junior,3,"₹22,900/mo - ₹70,100/mo","sql, telemedicine, regulatory compliance, healthcare analytics, patient coordination, icd-10, ai diagnostics, medical coding, cerner, data entry, clinical trials, problem solving, communication, teamwork, empathy, attention to detail","As a Junior Telemedicine Coordinator in the BFSI domain at CapitalEdge, you will build scalable solutions. Maintain accurate clinical documentation and patient records. Analyse health data to support operational decisions. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-03-04
28,Product Marketing Manager,Marketing & Sales,Technology,SynapseAI,SME,Delhi NCR,Remote,Mid,6,"₹53,500/mo - ₹158,500/mo","content marketing, canva, hubspot, ga4, seo, ab testing, sem, excel, google analytics, social media, copywriting, meta ads, creativity, storytelling, problem solving","As a Mid Product Marketing Manager in the Technology domain at SynapseAI, you will deliver high-quality outcomes. Plan and execute digital marketing campaigns. Generate and nurture leads through multiple channels. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-03-05
29,Digital Marketing Specialist,Marketing & Sales,Telecom,TowerBridge,SME,Jaipur,Remote,Mid,6,"₹48,100/mo - ₹159,100/mo","content marketing, social media, copywriting, ab testing, hubspot, crm, salesforce, tiktok ads, influencer marketing, ai content tools, figma, seo, storytelling, customer focus, communication","As a Mid Digital Marketing Specialist in the Telecom domain at TowerBridge, you will drive measurable impact. Plan and execute digital marketing campaigns. Analyse campaign performance and optimize for ROI. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-12-13
30,Blockchain Developer,Software Engineering,Consulting,StratEdge,Startup,Mumbai,Remote,Senior,7,"₹142,400/mo - ₹447,300/mo","redis, ansible, javascript, mongodb, rabbitmq, spring boot, vector databases, react, rust, django, communication, ownership, teamwork","As a Senior Blockchain Developer in the Consulting domain at StratEdge, you will contribute to a high-performing team. Design and develop robust software systems. Build and maintain reliable APIs and services. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-16
31,MLOps Engineer,Data & Analytics,Consulting,InsightCo,Startup,Gurugram,Remote,Junior,1,"₹25,600/mo - ₹75,700/mo","scikit-learn, ab testing, forecasting, seaborn, statistics, excel, metabase, random forest, vector databases, stakeholder management, presentation, storytelling","As a Junior MLOps Engineer in the Consulting domain at InsightCo, you will contribute to a high-performing team. Analyse large datasets to extract actionable insights. Develop predictive models to support business decisions. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-15
32,ML Engineer,Software Engineering,Telecom,TowerBridge,MNC,Chennai,Remote,Mid,5,"₹57,600/mo - ₹181,800/mo","ci/cd, linux, terraform, typescript, graphql, golang, flask, aws, jenkins, javascript, rabbitmq, communication, attention to detail, problem solving, critical thinking, mentorship","As a Mid ML Engineer in the Telecom domain at TowerBridge, you will contribute to a high-performing team. Optimize application performance and scalability. Write clean, testable code and participate in code reviews. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-01
33,Inventory Planner,Operations & Supply Chain,Retail,RetailMax,Startup,Chennai,Hybrid,Mid,5,"₹49,200/mo - ₹149,000/mo","lean, supply chain ai, python, supply chain analytics, kpi tracking, logistics, six sigma, problem solving, ownership, attention to detail, communication, stakeholder management, time management","As a Mid Inventory Planner in the Retail domain at RetailMax, you will contribute to a high-performing team. Coordinate with vendors and logistics partners. Identify process improvement opportunities. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-20
34,FP&A Analyst,Finance & Accounting,BFSI,FinVista,SME,Ahmedabad,Hybrid,Junior,3,"₹23,800/mo - ₹74,300/mo","excel, ind as, tally, bloomberg terminal, power bi, financial modeling, cash flow, forecasting, variance analysis, problem solving, ownership, attention to detail, communication, stakeholder management","As a Junior FP&A Analyst in the BFSI domain at FinVista, you will deliver high-quality outcomes. Ensure compliance with accounting standards and regulations. Prepare financial reports and variance analysis. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-03
35,HR Analyst,Human Resources,Technology,NexGen Systems,MNC,Ahmedabad,Remote,Mid,4,"₹44,900/mo - ₹163,400/mo","kpi tracking, interviewing, ai hiring tools, dei frameworks, onboarding, performance management, screening, labour law, communication, attention to detail, empathy, problem solving, time management, stakeholder management","As a Mid HR Analyst in the Technology domain at NexGen Systems, you will build scalable solutions. Support hiring, onboarding and employee lifecycle processes. Coordinate training and development programmes. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-01
36,Inventory Planner,Operations & Supply Chain,Retail,MegaMart,MNC,Bengaluru,Hybrid,Fresher,0,"₹13,000/mo - ₹33,800/mo","warehouse management, supply chain ai, vendor management, erp, excel, procurement, sustainability ops, lean, power bi, python, tableau, forecasting, attention to detail, time management, stakeholder management","As a Fresher Inventory Planner in the Retail domain at MegaMart, you will drive measurable impact. Coordinate with vendors and logistics partners. Monitor and optimise supply chain operations. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-11
37,Product Marketing Manager,Marketing & Sales,E-commerce,UrbanRetail,MNC,Pune,Hybrid,Senior,12,"₹113,300/mo - ₹379,600/mo","google ads, seo, influencer marketing, canva, tiktok ads, ab testing, salesforce, storytelling, customer focus, stakeholder management, problem solving","As a Senior Product Marketing Manager in the E-commerce domain at UrbanRetail, you will deliver high-quality outcomes. Analyse campaign performance and optimize for ROI. Manage social media presence and content calendar. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-17
38,Employee Relations Specialist,Human Resources,FMCG,BrandPlus,Startup,Noida,On-site,Mid,3,"₹49,500/mo - ₹149,400/mo","recruitment, excel, training, workday, onboarding, conflict resolution, linkedin recruiter, labour law, performance management, interviewing, people analytics, time management, empathy, attention to detail, stakeholder management, problem solving","As a Mid Employee Relations Specialist in the FMCG domain at BrandPlus, you will collaborate with cross-functional teams. Coordinate training and development programmes. Support hiring, onboarding and employee lifecycle processes. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-11
39,DevOps Engineer,Software Engineering,Technology,TechNova,MNC,Kolkata,Hybrid,Mid,6,"₹60,400/mo - ₹194,600/mo","typescript, django, nginx, git, aws, microservices, llm apis, linux, attention to detail, mentorship, communication","As a Mid DevOps Engineer in the Technology domain at TechNova, you will build scalable solutions. Write clean, testable code and participate in code reviews. Optimize application performance and scalability. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-04
40,Employee Relations Specialist,Human Resources,Technology,CodeCraft,SME,Chennai,On-site,Fresher,1,"₹12,900/mo - ₹34,700/mo","hris, training, employee relations, linkedin recruiter, performance management, screening, sap successfactors, compliance, interviewing, attention to detail, stakeholder management, communication, empathy, time management","As a Fresher Employee Relations Specialist in the Technology domain at CodeCraft, you will contribute to a high-performing team. Coordinate training and development programmes. Partner with teams to improve engagement and performance. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-23
41,Fleet Manager,Operations & Supply Chain,Automobile,GearTech,Startup,Kolkata,Hybrid,Junior,3,"₹23,300/mo - ₹66,400/mo","python, sap, warehouse management, supply chain analytics, vendor management, oracle, six sigma, procurement, logistics, sustainability ops, forecasting, communication, attention to detail, stakeholder management","As a Junior Fleet Manager in the Automobile domain at GearTech, you will drive measurable impact. Identify process improvement opportunities. Track inventory levels and manage procurement processes. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-10
42,Process Improvement Analyst,Operations & Supply Chain,Logistics,CargoFirst,SME,Hyderabad,On-site,Junior,2,"₹21,600/mo - ₹66,500/mo","vendor management, forecasting, lean, digital twin, tableau, inventory management, procurement, attention to detail, time management, stakeholder management, ownership, problem solving","As a Junior Process Improvement Analyst in the Logistics domain at CargoFirst, you will contribute to a high-performing team. Track inventory levels and manage procurement processes. Coordinate with vendors and logistics partners. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-03-10
43,Clinical Data Coordinator,Healthcare,Pharma,DrugSafe,MNC,Mumbai,Hybrid,Junior,3,"₹21,900/mo - ₹67,300/mo","cerner, quality assurance, patient coordination, medical coding, hipaa, ehr, clinical trials, regulatory compliance, icd-10, epic, attention to detail, teamwork, time management, communication, problem solving","As a Junior Clinical Data Coordinator in the Pharma domain at DrugSafe, you will collaborate with cross-functional teams. Coordinate with clinical teams to support patient care. Analyse health data to support operational decisions. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-16
44,Medical Billing Specialist,Healthcare,Healthcare,ClinPro,MNC,Jaipur,Hybrid,Mid,4,"₹50,600/mo - ₹148,900/mo","icd-10, ai diagnostics, medical coding, hipaa, sql, data entry, healthcare analytics, quality assurance, regulatory compliance, time management, empathy, problem solving","As a Mid Medical Billing Specialist in the Healthcare domain at ClinPro, you will build scalable solutions. Maintain accurate clinical documentation and patient records. Coordinate with clinical teams to support patient care. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-22
45,Email Marketing Specialist,Marketing & Sales,Telecom,WaveComm,MNC,Noida,On-site,Fresher,0,"₹13,000/mo - ₹40,000/mo","seo, data analytics, marketing automation, crm, content marketing, sem, google ads, ab testing, presentation, storytelling, customer focus","As a Fresher Email Marketing Specialist in the Telecom domain at WaveComm, you will build scalable solutions. Analyse campaign performance and optimize for ROI. Generate and nurture leads through multiple channels. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-16
46,Brand Manager,Marketing & Sales,Telecom,ConnectNet,Startup,Hyderabad,Hybrid,Junior,2,"₹22,800/mo - ₹74,000/mo","google analytics, meta ads, seo, email marketing, google ads, tiktok ads, influencer marketing, content marketing, excel, storytelling, customer focus, presentation, problem solving, communication","As a Junior Brand Manager in the Telecom domain at ConnectNet, you will build scalable solutions. Plan and execute digital marketing campaigns. Manage social media presence and content calendar. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-24
47,Clinical Research Associate,Healthcare,BFSI,MoneyPro,MNC,Surat,Hybrid,Senior,8,"₹105,900/mo - ₹341,900/mo","sql, telemedicine, clinical documentation, healthcare analytics, ehr, digital health, patient coordination, communication, empathy, problem solving, teamwork","As a Senior Clinical Research Associate in the BFSI domain at MoneyPro, you will collaborate with cross-functional teams. Coordinate with clinical teams to support patient care. Maintain accurate clinical documentation and patient records. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-29
48,Inventory Planner,Operations & Supply Chain,Automobile,DriveNext,MNC,Mumbai,Hybrid,Junior,2,"₹20,600/mo - ₹64,900/mo","supply chain ai, power bi, oracle, inventory management, warehouse management, lean, python, digital twin, process improvement, stakeholder management, time management, problem solving, communication, ownership, attention to detail","As a Junior Inventory Planner in the Automobile domain at DriveNext, you will collaborate with cross-functional teams. Track inventory levels and manage procurement processes. Coordinate with vendors and logistics partners. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-01
49,HR Operations Manager,Human Resources,Consulting,ProConsult,SME,Delhi NCR,Remote,Mid,6,"₹47,500/mo - ₹158,800/mo","excel, dei frameworks, onboarding, hris, ai hiring tools, hr policies, performance management, recruitment, problem solving, communication, stakeholder management","As a Mid HR Operations Manager in the Consulting domain at ProConsult, you will build scalable solutions. Coordinate training and development programmes. Support hiring, onboarding and employee lifecycle processes. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-10-22
50,Security Engineer,Software Engineering,Telecom,LinkTech,SME,Jaipur,Hybrid,Fresher,0,"₹17,600/mo - ₹46,800/mo","linux, jenkins, langchain, rabbitmq, mongodb, aws, node.js, ansible, spring boot, golang, django, teamwork, mentorship, problem solving, critical thinking","As a Fresher Security Engineer in the Telecom domain at LinkTech, you will drive measurable impact. Optimize application performance and scalability. Build and maintain reliable APIs and services. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-01-20
51,Marketing Analyst,Data & Analytics,Retail,RetailMax,MNC,Chennai,Hybrid,Senior,9,"₹117,000/mo - ₹417,300/mo","python, spark, statistics, scikit-learn, streamlit, seaborn, data cleaning, communication, storytelling, problem solving, presentation, stakeholder management, critical thinking","As a Senior Marketing Analyst in the Retail domain at RetailMax, you will contribute to a high-performing team. Collaborate with stakeholders to define KPIs and metrics. Develop predictive models to support business decisions. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2026-03-16
52,FP&A Analyst,Finance & Accounting,BFSI,SecureFinance,MNC,Noida,Remote,Mid,5,"₹50,100/mo - ₹161,700/mo","forecasting, audit, sql, accounting, sap, financial modeling, ind as, taxation, bookkeeping, p&l management, blockchain basics, ifrs, ownership, communication, critical thinking, attention to detail, stakeholder management","As a Mid FP&A Analyst in the BFSI domain at SecureFinance, you will drive measurable impact. Ensure compliance with accounting standards and regulations. Prepare financial reports and variance analysis. You will work in an agile environment with continuous feedback and iteration. Strong ownership, communication, and problem-solving are essential for success.",2025-11-17
